Team1,Score1,Team2,Score2
Detroit LionsDET,21,Kansas City ChiefsKC,20
Tampa Bay BuccaneersTB,20,Minnesota VikingsMIN,17
Tennessee TitansTEN,15,New Orleans SaintsNO,16
Carolina PanthersCAR,10,Atlanta FalconsATL,24
Houston TexansHOU,9,Baltimore RavensBAL,25
San Francisco 49ersSF,30,Pittsburgh SteelersPIT,7
Arizona CardinalsARI,16,Washington CommandersWAS,20
Cincinnati BengalsCIN,3,Cleveland BrownsCLE,24
Jacksonville JaguarsJAX,31,Indianapolis ColtsIND,21
Miami DolphinsMIA,36,Los Angeles ChargersLAC,34
Los Angeles RamsLA,30,Seattle SeahawksSEA,13
Las Vegas RaidersLV,17,Denver BroncosDEN,16
Green Bay PackersGB,38,Chicago BearsCHI,20
Philadelphia EaglesPHI,25,New England PatriotsNE,20
Dallas CowboysDAL,40,New York GiantsNYG,0
Buffalo BillsBUF,16,New York JetsNYJ,22
Minnesota VikingsMIN,28,Philadelphia EaglesPHI,34
Indianapolis ColtsIND,31,Houston TexansHOU,20
Los Angeles ChargersLAC,24,Tennessee TitansTEN,27
Seattle SeahawksSEA,37,Detroit LionsDET,31
Green Bay PackersGB,24,Atlanta FalconsATL,25
Las Vegas RaidersLV,10,Buffalo BillsBUF,38
Baltimore RavensBAL,27,Cincinnati BengalsCIN,24
Kansas City ChiefsKC,17,Jacksonville JaguarsJAX,9
Chicago BearsCHI,17,Tampa Bay BuccaneersTB,27
New York GiantsNYG,31,Arizona CardinalsARI,28
San Francisco 49ersSF,30,Los Angeles RamsLA,23
Washington CommandersWAS,35,Denver BroncosDEN,33
New York JetsNYJ,10,Dallas CowboysDAL,30
Miami DolphinsMIA,24,New England PatriotsNE,17
New Orleans SaintsNO,20,Carolina PanthersCAR,17
Cleveland BrownsCLE,22,Pittsburgh SteelersPIT,26
New York GiantsNYG,12,San Francisco 49ersSF,30
New Orleans SaintsNO,17,Green Bay PackersGB,18
Los Angeles ChargersLAC,28,Minnesota VikingsMIN,24
New England PatriotsNE,15,New York JetsNYJ,10
